n,score
1795,32128
1796,30528
1797,34928
1798,12088
1799,29792
1800,34016
1801,57116
1802,32604
1803,32516
1804,32116
1805,23252
1806,5584
1807,35552
1808,28008
1809,33636
1810,36608
1811,35016
1812,12596
1813,16780
1814,29724
1815,33668
1816,32508
1817,32048
1818,32836
1819,31972
1820,22008
1821,34268
1822,36596
1823,35976
1824,64156
1825,36044
1826,58684
1827,29388
1828,32572
1829,39456
1830,36424
1831,27060
1832,37700
1833,32268
1834,7128
1835,38732
1836,36116
1837,16516
1838,35472
1839,11632
1840,30928
1841,30600
1842,31704
1843,31872
1844,34216
1845,26852
1846,26920
1847,26008
1848,31640
1849,31476
1850,31412
1851,12236
1852,32268
1853,27132
1854,5648
1855,71440
1856,35404
1857,37744
1858,34192
1859,37912
1860,33884
1861,23224
1862,68080
1863,27076
1864,31116
1865,34400
1866,35292
1867,30824
1868,35288
1869,34752
1870,39740
1871,27784
1872,34940
1873,35184
1874,32324
1875,35584
1876,33868
1877,36000
1878,34020
1879,31376
1880,15932
1881,36268
1882,32356
1883,35880
1884,33984
1885,32844
1886,12236
1887,32168
1888,36200
1889,40996
1890,34696
1891,32688
1892,31088
1893,51444
1894,23552
1895,33740
1896,63124
1897,53776
1898,59808
1899,14228
1900,34412
1901,34064
1902,34016
1903,35124
1904,35400
1905,7196
1906,32060
1907,35120
1908,36164
1909,36152
1910,16336
1911,34240
1912,34448
1913,68476
1914,32100
1915,30140
1916,35828
1917,14236
1918,63528
1919,32024
1920,16248
1921,35388
1922,32196
1923,61028
1924,14480
1925,15248
1926,16452
1927,55640
1928,31636
1929,23420
1930,32284
1931,31652
1932,36088
1933,65556
1934,31380
1935,32428
1936,16068
1937,34504
1938,35684
1939,7620
1940,34048
1941,60368
1942,32488
1943,32836
1944,34004
1945,34484
1946,34060
1947,47396
1948,25740
1949,30136
1950,34460
1951,9804
1952,33736
1953,3156
1954,37612
1955,35944
1956,31408
1957,34236
1958,14336
1959,14400
1960,35492
1961,36132
1962,31204
1963,7008
1964,21208
1965,15320
1966,40188
1967,50412
1968,31888
1969,48552
1970,58680
1971,34356
1972,7204
1973,35500
1974,27580
1975,57736
1976,27068
1977,30596
1978,30208
1979,78724
1980,31804
1981,32132
1982,35700
1983,7404
1984,34672
1985,27072
1986,49716
1987,32064
1988,27788
1989,6764
1990,36812
1991,34516
1992,35360
1993,30656
1994,36184
1995,31276
1996,32468
1997,62640
1998,12756
1999,36488
2000,36148
2001,26700
2002,34240
2003,73300
2004,31828
2005,3244
2006,58364
2007,36236
2008,36000
2009,31260
2010,31616
2011,21208
2012,25560
2013,23288
2014,32984
2015,36084
2016,34164
2017,35452
2018,27120
2019,34264
2020,15096
2021,34108
2022,27288
2023,33872
2024,34036
2025,21956
2026,31028
2027,31196
2028,31588
2029,14444
2030,35876
2031,29044
2032,31328
2033,36104
2034,35352
2035,33568
2036,20684
2037,36244
2038,30492
2039,34104
2040,31188
2041,30896
2042,12224
2043,35608
2044,16276
2045,71440
2046,35424
2047,33716
2048,33160
2049,28096
2050,30536
2051,29668
2052,28244
2053,35868
2054,32216
2055,33888
2056,30696
2057,30920
2058,36008
2059,35112
2060,34316
2061,26384
2062,47368
2063,60708
2064,17172
2065,27072
2066,31280
2067,34776
2068,34016
2069,31604
2070,16084
2071,31596
2072,36216
2073,36112
2074,41988
2075,30752
2076,60292
2077,34348
2078,35168
2079,30772
2080,27048
2081,21540
